1 2 3
1 2 6
1 1 10
1 1 12
1 1 14
1 1 16
1 2 19
2 1 2
2 1 6
2 1 8
2 1 10
2 1 12
2 3 14
2 1 18
3 1 2
3 2 6
3 1 10
3 1 12
3 3 14
3 1 18
4 1 2
4 1 6
4 1 8
4 1 10
4 1 12
4 1 14
4 1 16
4 1 18
5 2 3
5 1 6
5 1 8
5 1 11
5 1 14
5 1 16
5 2 19
6 1 1
6 1 3
6 3 5
6 1 9
6 1 11
6 2 14
6 1 17
6 1 19
7 1 1
7 1 3
7 1 6
7 3 9
7 1 13
7 3 17
8 3 1
8 1 6
8 3 9
8 1 13
8 3 17
9 1 1
9 1 3
9 1 6
9 1 9
9 1 11
9 1 13
9 1 15
9 1 17
9 1 19
10 1 1
10 1 3
10 3 5
10 1 9
10 1 11
10 3 13
10 1 17
10 1 19
11 1 2
11 1 4
11 1 6
11 1 8
11 3 10
11 3 14
11 2 18
12 1 2
12 1 4
12 3 6
12 1 10
12 1 12
12 1 14
12 1 18
12 1 20
13 1 2
13 1 4
13 1 6
13 1 8
13 2 10
13 2 14
13 2 18
14 1 2
14 1 4
14 1 6
14 1 8
14 1 10
14 1 12
14 1 14
14 1 18
14 1 20
15 1 3
15 1 6
15 1 8
15 3 10
15 3 14
15 1 18
15 1 20
16 2 2
16 1 5
16 3 9
16 1 13
16 1 15
16 3 17
17 1 1
17 1 5
17 1 10
17 1 13
17 1 15
17 1 17
18 3 1
18 1 5
18 1 10
18 1 13
18 1 15
18 2 17
19 1 3
19 1 5
19 1 10
19 1 14
19 1 17
20 2 1
20 3 5
20 3 9
20 1 14
20 3 17
